,Control_0,Control_1,Control_2,Control_3,Control_4,Control_5,Control_6,Control_7,Control_8,Control_9,Control_10,Control_11,Control_12,Control_13,Control_14,Control_15,Control_16,Control_17,Control_18,Control_19,Control_20,Control_21,Control_22,Control_23,Control_24,Control_25,Control_26,Control_27,Control_28,Control_29,Control_30,Control_31,Control_32,Control_33,Control_34,Control_35,Control_36,Control_37,Control_38,Control_39,Control_40,Control_41,Control_42,Control_43,Control_44,Control_45,Control_46,Control_47,Control_48,Control_49,AD_0,AD_1,AD_2,AD_3,AD_4,AD_5,AD_6,AD_7,AD_8,AD_9,AD_10,AD_11,AD_12,AD_13,AD_14,AD_15,AD_16,AD_17,AD_18,AD_19,AD_20,AD_21,AD_22,AD_23,AD_24,AD_25,AD_26,AD_27,AD_28,AD_29,AD_30,AD_31,AD_32,AD_33,AD_34,AD_35,AD_36,AD_37,AD_38,AD_39,AD_40,AD_41,AD_42,AD_43,AD_44,AD_45,AD_46,AD_47,AD_48,AD_49
FCRL3,38.58964054,38.44486395,38.57670868,38.57132713,38.5411117,38.56903795,38.24936148,38.45084243,38.4372236,38.34213159,38.41374448,38.39599024,38.1955322,38.54425224,38.49443003,38.35079938,38.52674805,38.41850018,38.24707679,38.40557555,38.48680863,38.12612267,38.27545616,38.64550412,38.33940768,38.56908137,38.32961148,38.30325573,38.44015128,38.37751629,38.38263132,38.23970467,38.35488938,38.56193705,38.26327131,38.10665593,38.67966444,38.3675327,38.24510968,38.22176828,38.36587409,38.17845109,38.31993594,38.21262353,38.2872022,38.46829194,38.58298197,38.61349013,38.39427776,38.18687943,38.5763707,38.32251399,38.29808831,38.47853166,38.54378418,38.33839754,38.21864179,38.41867704,38.43730755,38.20249465,38.45372596,38.56177183,38.25258713,38.24590158,38.22866298,38.25783693,38.50509657,38.43372026,38.43089892,38.37713588,38.49076686,38.57044058,38.49743552,38.34124703,38.58871182,37.99686465,38.37628377,38.3499896,38.39057078,38.23601545,38.19114548,38.26403113,38.77490593,38.52903793,38.36102431,38.27523631,38.41604076,38.43772346,38.27810247,38.2919593,38.59081865,38.53641031,38.43030013,38.53319054,38.31062608,38.24636297,38.53708284,38.26353685,38.45581795,38.42194147
FCRL4,9.649858489,9.519799413,9.320978453,9.71857208,9.54601609,9.631844307,9.507523214,9.573742061,9.408470329,9.326100059,9.262051255,9.268179892,9.39723629,9.442703014,9.291394215,9.453284676,9.164634479,9.217141513,9.447891497,9.524993957,9.389662066,9.222445122,9.363768081,9.241136882,9.42218187,9.046314951,9.263431215,9.218147662,9.294608725,9.602974903,9.580634886,9.272864685,9.61243536,9.809543174,9.220929915,9.514832702,9.515413798,9.281459158,9.718068782,9.652897034,9.268671886,9.345738728,9.457846906,9.729539839,9.212638193,9.506709461,9.247215275,9.463718666,9.344466394,9.470657812,9.436502389,9.265212166,9.496112365,9.20714571,9.1941458,9.561882673,9.536660279,9.319438081,9.335148293,9.422293593,9.587569358,9.432068499,9.458900842,9.189453524,9.332588382,9.256922132,9.450777613,9.613401246,9.376851461,8.960468606,9.413227211,9.31633033,9.348768714,9.346272087,9.970838543,9.18435368,9.707934953,9.519492013,9.441349141,9.425877261,9.331456754,9.546438561,9.330117734,9.353810011,9.286452636,9.767272083,9.25600322,9.35408156,9.349534718,9.961946242,9.243773908,9.491648921,9.528248587,9.562827922,9.573252288,9.382879543,9.518919501,9.190209971,9.763643309,9.463081981
FCRL5,24.82451876,25.05124192,25.07343374,24.87445957,24.98946947,25.09078404,24.87405754,25.1698524,24.80935305,25.05033657,24.8414725,25.07599699,24.59500362,25.13434969,25.19668147,24.68081872,25.03513401,24.87415835,25.02084714,25.14297477,24.83224128,25.07983061,24.94740055,25.046438,25.15250004,25.14826689,24.83609062,25.24984749,24.91466515,25.06613068,25.03438602,25.2382223,24.76926489,25.164224,25.24637811,24.53485609,25.14175483,24.8986894,24.90430208,24.47244715,24.98993317,25.04308656,25.01826689,24.58003491,24.9353923,24.86954264,25.16868462,25.07022679,25.22180671,24.81856832,25.18851066,24.82722262,24.72158542,25.08870782,25.1683404,25.03858329,24.90966289,24.84275566,25.23284865,25.22935162,24.82847658,25.08841565,24.82833876,25.00875482,24.82569298,24.98004853,24.80056103,25.07303607,24.9729649,24.78927446,25.23150057,25.27056644,25.05614525,24.86585195,24.93108372,24.82480851,25.03324446,24.89814772,25.15043172,24.82061925,24.84783005,24.98560446,25.26092104,25.13222278,25.00478444,24.65208097,24.94921587,24.9361097,24.96205619,24.88351192,25.09587719,24.92864791,24.98936058,25.04214284,24.7720751,25.09381905,25.06800401,24.72366465,24.94212883,25.03626868
FCRL6,167.7096938,167.1775747,166.4106937,168.4141357,166.4577554,167.3957275,166.7192717,167.6605171,166.3046465,165.662778,165.5786903,166.5523653,166.2730739,167.3574769,166.9996184,166.7179581,165.2055178,165.9068525,167.2601364,166.888173,166.8559947,165.1679814,166.9073261,166.5692259,166.0230429,165.1655077,165.3062778,166.0497929,165.6349864,167.4079814,167.4471275,166.5213961,166.9491381,168.3358898,166.6749432,166.3888105,167.5801417,166.0865851,167.1436513,166.9845654,166.6966649,165.61759,166.443956,167.5702132,165.9585558,167.3994638,166.2188905,166.5835395,166.5013704,165.9429714,166.5164251,165.1595576,167.0503105,165.8985483,165.6276823,166.4174976,167.1373777,166.198158,166.3199109,166.1062517,166.1312936,166.8161658,166.4380517,165.0939165,165.9092366,165.6569398,167.2186934,167.8226696,165.6112145,164.0905036,166.7267013,166.1054084,166.7832157,165.1625908,168.6694177,164.859457,167.9634469,166.6115232,166.2715871,166.6318871,166.2802924,165.2877812,167.2240756,167.1717019,165.7578349,167.4627611,166.5077838,165.6829641,167.0860374,168.3603297,165.5493113,166.4289421,166.6526733,167.6124935,166.8161401,166.1514762,166.9796204,165.3893096,168.2595907,167.847385
FCRLA,28.42588457,28.09677852,28.17341651,28.74028092,28.79289235,28.11218707,28.06534186,28.09396944,28.80117256,27.972205,27.44445696,27.7721753,27.5241371,27.74249778,27.71670378,27.92472151,27.45939715,27.69553059,27.22829895,28.26320888,28.30407836,27.26931631,27.3890797,28.1059136,28.43284387,27.96501955,27.99203616,27.52797847,28.73107989,27.8328895,28.43255516,27.21864964,28.16055256,29.19964879,26.8819944,28.13785395,28.28600883,27.81435633,27.8055766,28.34169099,28.19226287,27.52814687,28.55952812,27.86315018,26.86494592,28.07317731,27.56010931,28.1164188,27.46601861,27.93842794,28.4905855,27.72651628,28.51269704,27.10955558,28.23027555,27.5334482,27.63235514,28.85009787,28.2501166,27.67632044,28.43621834,28.14717696,27.93425475,27.73311019,28.11884242,27.66766587,28.41371379,28.18104562,28.20860122,28.4133011,28.34703085,27.76045455,27.96342308,28.45127539,29.01992186,26.77309756,28.28511813,27.83121065,28.06174871,27.72872886,27.38612543,27.85441702,28.51260454,27.76564094,27.47260412,28.64545136,27.08386594,27.87042605,26.93731643,28.97251863,28.55244999,28.52295005,27.96183294,27.88538359,28.02364858,28.45737234,28.38781422,26.97841276,28.04604236,28.10759222
FCRLB,276.6673168,275.3858354,274.4358207,274.8020389,276.5653136,275.6348103,274.9007773,274.4026197,275.9568368,276.4449528,276.7669649,272.6496384,276.8108009,274.5430587,272.2545514,276.7135215,274.0822588,275.4589485,273.9424283,275.7407598,273.8888662,274.2497831,273.7585953,273.5528257,275.1717581,273.8352684,276.7994474,273.1335008,276.1922366,273.8790252,273.6374851,273.2558732,276.702317,275.0233149,273.2913456,276.9242424,274.78521,275.3994496,276.8764852,276.6638466,273.1187421,275.6243709,275.0444356,276.6933148,274.198776,276.2189143,274.603043,276.4970214,273.1162182,276.6539491,275.332188,277.8355229,275.3672695,274.7665598,275.0932352,276.4678399,275.3046188,274.7487644,273.3074826,274.6967189,278.1849267,275.5799144,275.4384861,274.8851216,275.7861473,276.5820271,275.2162235,275.5287176,277.5826716,275.6109417,273.2406605,274.8002495,274.3887283,276.9349004,275.5234338,275.571937,274.2207393,275.3366862,276.3189876,275.6900626,273.1617698,278.7627285,272.2642332,272.8098002,274.9431862,277.051783,273.6518958,275.9640466,274.3587047,276.0915631,275.361619,277.1352478,276.0884384,274.7839123,276.2716271,274.1749246,275.7180538,276.4064541,274.7415349,272.2730925
FDCSP,16.23469767,16.23857051,16.29085521,16.11645234,16.2451149,16.21339424,16.02040051,16.16781265,16.06683285,16.13908607,16.27641036,16.16783424,16.0779346,16.32458382,16.22943653,16.19192427,16.32372921,16.1666378,16.06184421,16.1748887,16.05141502,16.04220768,16.06050329,16.31998877,16.07804805,16.2660061,16.1861861,16.07289255,16.06218434,16.13223544,16.07061478,16.11928526,16.14897498,16.11610877,16.16733201,15.90931822,16.36658261,16.18136209,16.14733927,15.83575518,15.99227747,16.09214769,15.9578818,15.9627089,16.11023667,16.15498082,16.43343411,16.43525403,16.18586884,15.96224879,16.34058497,16.24094045,15.89384531,16.31881865,16.24982915,16.2043672,16.00284168,16.09232658,16.20113987,16.04025307,16.21908157,16.3086075,16.03423076,16.0687463,15.89934621,16.13378856,16.16474496,16.13606417,16.29163913,16.05191535,16.15720736,16.32605502,16.15897627,16.00912391,16.12768539,15.91867184,16.01581395,16.11880568,16.20989094,16.04708077,16.01779355,16.11033653,16.32263762,16.18049173,16.15548366,15.95632614,16.1985949,16.20367292,16.09609194,15.93954049,16.27960114,16.21082124,16.20917814,16.24150141,16.04873213,15.91893675,16.3102391,16.18310351,16.13570016,16.14521149
FDFT1,1085.257846,1086.419516,1106.47342,1077.033604,1096.107006,1080.636322,1091.673694,1078.215831,1095.933496,1092.478621,1107.132146,1098.860149,1103.070436,1089.494783,1096.486057,1104.068004,1119.277628,1104.550078,1086.004146,1083.92513,1094.435319,1102.123036,1092.117507,1106.567991,1090.883194,1111.966428,1108.406401,1090.623403,1094.170305,1089.292952,1087.44821,1090.504426,1094.734802,1071.447875,1087.725337,1098.09692,1093.080657,1104.978474,1092.656971,1082.423174,1094.506302,1096.381161,1087.141836,1086.476425,1096.497915,1082.990309,1111.23063,1102.766722,1098.714374,1091.212757,1100.122676,1111.824912,1083.533753,1105.10529,1100.172104,1093.12887,1083.641067,1104.67945,1098.706304,1087.565445,1104.51078,1097.537134,1092.324025,1104.111006,1087.552154,1096.072415,1094.751134,1078.131851,1108.698491,1113.270558,1086.75242,1099.354629,1089.738131,1098.390105,1079.91445,1098.968617,1079.203837,1091.689441,1091.2708,1092.009174,1103.596382,1093.334252,1094.0433,1094.061444,1098.793954,1086.652189,1103.830589,1100.739446,1087.592945,1072.229406,1105.058909,1091.529137,1096.323089,1091.624067,1092.353494,1087.926021,1095.377506,1110.615628,1081.660527,1092.802569
FDPS,300.443501,299.838042,303.6233605,298.2617827,302.441957,298.8516123,298.5555221,297.1618661,302.2487377,301.7010314,304.3078124,302.2158129,299.6375956,301.5966916,300.4280892,302.1123021,306.1810131,301.8614279,296.4073548,299.7330129,300.073472,301.1150196,297.7243821,305.0736132,300.6379857,305.6887262,303.5712514,297.7437918,301.6951184,298.3078761,298.2188901,298.24474,300.4635871,296.9281009,298.1648318,296.8805982,302.1808307,302.1107511,297.6980523,296.1791242,297.6218903,300.876573,297.7029335,295.8706503,300.1128291,300.0959019,304.8525084,305.251371,300.4169117,297.9109669,304.2911281,304.1783779,297.4553062,302.8297034,301.7817994,300.1309256,297.041606,302.7626077,302.409085,298.1165354,302.4702898,301.6889124,298.9407576,301.9810219,298.3376844,300.8020742,301.7756913,297.194807,304.0599974,305.3606728,301.2495382,303.055449,299.3864538,300.9843413,298.3606107,298.4946736,296.6779164,300.3784475,300.7676925,297.7865433,300.2163953,299.5073084,303.8066096,299.0443622,301.0572469,297.5855794,300.0468893,302.556474,297.1565919,293.5283066,305.292893,301.1488978,301.5729335,299.5716679,300.154459,298.1189715,303.1915102,303.6920359,298.6654806,298.2293986
FDX1,49.32783554,48.89376668,48.99100695,49.07368972,49.43087527,49.14599872,48.98509611,48.41941754,49.31140372,49.09060592,49.6532419,49.0798438,49.02253311,48.89399822,48.53395723,49.11995961,49.93198913,48.93171722,48.26046395,48.6855726,49.22665832,49.09023719,48.49816083,49.26641332,48.87795389,49.27524426,49.35464721,48.21545718,49.2016839,48.88078018,48.72493959,48.06245605,49.33396334,48.44621902,47.98082474,48.7549825,48.83203194,48.88029917,48.69358903,49.6066338,48.03861652,49.05421709,48.47940893,49.00099098,49.24193328,48.93098521,48.9381915,49.43343211,48.66271217,49.02473935,49.078302,49.26037706,48.80183223,49.12837629,48.72770401,49.23972857,48.57673852,49.03950891,48.88793196,48.462052,49.4094359,48.71444958,49.15499006,49.13821978,48.89541102,48.63071701,49.12419735,48.17793762,49.06720031,49.76774796,49.17782074,49.00490344,48.68024653,49.37662813,49.21179241,49.1423472,48.55324673,49.59393925,48.69033708,48.62330509,49.22906454,49.32574642,49.1713883,48.45126359,49.3188149,48.990234,48.83957938,49.75052099,48.30600097,48.41029185,49.46119306,49.26651671,49.17220714,48.68162773,49.31480462,48.44854631,49.14413488,49.56403039,49.14408224,48.28593137
FDX1L,911.3100673,917.234203,907.4490842,912.9509119,913.6344927,906.9674331,913.8316917,912.549196,911.7600423,910.7925369,910.1279821,915.3953619,911.5988685,913.0646533,910.7917422,912.5584518,906.7773319,905.3151105,907.8569299,913.2522556,907.6636467,911.2777665,908.8767293,909.773375,911.4659014,906.0186319,913.0785913,907.7541022,910.2112715,910.1554688,913.9010018,910.437165,913.5740975,911.6205836,910.6175834,911.3904705,909.4730759,909.9270234,910.4368234,911.4143958,905.4770281,912.8609314,906.7179275,908.6578671,908.1902347,910.1342426,908.0347007,912.5538007,905.8767213,908.3947812,912.7850176,909.532987,909.6638156,906.0027391,908.278797,908.4235466,908.7057819,914.5960025,914.3882966,908.4340539,905.5057358,908.2654469,913.8315252,910.1050927,907.7531336,910.7667259,912.4419208,908.157774,909.169374,911.4943335,914.8622744,904.9163472,907.2518171,905.4390269,907.291414,907.5377991,906.9186617,913.1235533,910.2644352,911.3267934,912.0757253,904.2506838,910.6428509,904.040172,908.8906576,909.4660761,904.512816,910.8036676,905.7533289,912.2390217,911.2265613,909.7687442,907.6918942,905.2364486,908.5039588,908.7837603,914.5568417,908.7521834,909.5419565,914.9438633
FDXR,508.7391391,512.1852554,503.6216711,508.8973657,508.0874642,516.2594509,512.4713364,515.0406576,506.1119531,515.9141118,510.0534044,508.9148771,508.2679622,510.9965848,508.0492148,504.2560333,506.847836,507.1048909,516.1575663,514.9027085,506.7287797,517.9544738,512.5721777,501.7962471,514.6925499,505.5064598,507.7311242,516.4440362,509.4886423,513.8143164,510.2560879,516.3884619,509.8077464,512.1760176,517.5301397,508.3158728,505.8332605,506.5003331,513.9667432,514.3761722,506.1655191,517.8577686,512.9028968,513.0783496,516.8263349,511.5178581,504.8027296,506.7632004,512.9513748,516.7055165,506.7664813,508.0677054,510.544369,511.4932083,508.3765182,518.1363829,516.8224602,500.7617118,509.2861186,520.7026323,507.7748551,506.970554,513.2912207,513.1772865,515.3252222,513.7340781,503.9215378,513.4367009,506.7214667,505.2002496,513.8048024,512.2748012,510.8851125,512.9230159,509.7373923,521.7810965,514.4501028,515.0854475,514.5076935,512.0933185,510.9864525,521.8449474,504.6282302,508.5508607,514.8010381,510.1985378,509.0227193,512.7194868,515.6994787,514.3937857,505.9812945,510.2759952,511.7984131,509.3465194,512.5146687,514.4380213,507.695425,510.7017021,513.5040424,504.6101091
FECH,319.2315812,319.3641563,321.6121127,322.1264354,321.2720175,318.8731357,323.9918523,318.8713472,322.0641095,317.8476427,319.3042755,324.3731784,321.2316956,318.8002586,321.9804673,321.4360212,324.7893071,319.1655752,320.2070508,318.4350658,323.8233421,323.5387238,321.4513454,322.2995581,321.255111,320.9022365,320.5088598,319.1753111,319.2405784,324.2109569,324.6732751,319.1892551,322.5780421,320.3852226,316.8021803,323.0585638,319.279092,320.5918132,321.5502237,324.2987778,321.1475655,321.1730449,320.9187559,323.0721063,320.7125305,317.4464637,319.5841036,319.3536584,322.5197193,320.9376511,320.6640463,318.542805,321.754276,318.7941627,317.1189122,320.4504463,320.5278227,324.1671164,323.4891957,320.3241922,320.9383176,318.3556679,322.7850328,322.1279225,319.8425082,316.4557947,321.6721113,317.1563816,318.6809106,321.7320672,322.9119371,318.6016467,318.6386075,320.5172011,325.145723,321.1992688,323.1544933,323.5350025,317.4729961,320.0918346,327.534785,317.8239508,322.2516111,321.023837,320.9889747,323.5393353,321.3858897,321.4671607,317.9014449,323.2853477,320.5027769,317.9677578,321.0883299,320.3338796,322.9050336,322.1852154,320.6898166,320.5586898,323.7733143,324.3534745
FEM1A,1898.881043,1893.811253,1897.29125,1902.718715,1891.171805,1893.372921,1897.512915,1895.746346,1895.995364,1887.235233,1891.601762,1896.767699,1900.797905,1896.135664,1898.691464,1902.10326,1891.57154,1896.886846,1900.731773,1891.741868,1900.685078,1889.244747,1900.750489,1898.373904,1889.322785,1890.368498,1891.209148,1891.511336,1889.597731,1899.135478,1899.731809,1894.967912,1898.271606,1897.937594,1894.862395,1902.233236,1898.618175,1897.337549,1898.785063,1899.944629,1902.269949,1889.142921,1895.171041,1905.002208,1893.663181,1898.599818,1895.273313,1892.652005,1896.19162,1892.841291,1892.314835,1891.410767,1901.242109,1892.571036,1888.445789,1891.301346,1899.401193,1898.636183,1892.726417,1889.956698,1894.682939,1896.10394,1895.476999,1889.562581,1893.463833,1890.662904,1901.868284,1899.498544,1891.455334,1886.671824,1890.732343,1889.992055,1895.888627,1888.479203,1904.353548,1889.742275,1902.34823,1893.818955,1889.877736,1898.385267,1900.369759,1883.76314,1896.213639,1900.924942,1890.565845,1903.49131,1900.483966,1888.83978,1900.81448,1902.325438,1888.345929,1891.196387,1895.572831,1901.633335,1899.10985,1893.565194,1894.886824,1895.066543,1903.071031,1905.613597
FEM1B,49.01696085,49.74571243,49.17031002,48.87515394,49.59470187,49.30291673,49.5050816,49.66256358,49.1887598,49.8493276,49.37720488,49.3490966,49.32259313,49.40065381,49.318678,49.16943272,49.13021189,49.15880386,49.41812272,49.85649861,48.76019449,49.90772503,49.29550778,48.90759173,49.87626023,49.26420078,49.67375457,49.84584234,49.50295261,49.34909271,49.41006765,49.87903065,49.35259992,49.47734619,49.85883011,49.41248836,49.17417378,49.37784003,49.72402346,48.95836691,49.17190065,49.98459376,49.5402419,49.02766508,49.30064768,49.12449411,49.38603863,49.48122462,49.42574437,49.64460219,49.6234772,49.68059601,49.05094617,49.37025806,49.74002126,49.69910079,49.4092922,49.27391304,49.70495519,50.04163205,49.3608798,49.42451819,49.52381926,49.731324,49.42835382,49.91112973,48.9288975,49.45240828,49.74531212,49.42272466,49.57706204,49.51093687,49.28010345,49.52526308,48.78190565,49.76514037,49.14450406,49.38673998,49.93436413,49.52601732,49.18982101,50.05174663,48.94419984,49.02213227,49.51552334,49.11027402,49.00760414,49.48862547,49.25860345,49.53931414,49.50915262,49.47568453,49.35653057,49.05554234,49.11301698,49.70268038,49.51289875,49.23517319,48.92516284,49.2357262
FEM1C,2152.478637,2147.553318,2174.921733,2160.770762,2148.368056,2148.509584,2164.899445,2152.920227,2158.988371,2141.744591,2154.596247,2171.793502,2169.291315,2157.553881,2176.240876,2171.71462,2174.838831,2169.089599,2172.348099,2146.196984,2173.846976,2163.005956,2174.836136,2175.81282,2151.637938,2167.432556,2155.040945,2160.98662,2145.450357,2172.469301,2170.318086,2166.434257,2160.840615,2153.223049,2161.81862,2171.284333,2165.320783,2169.793671,2165.659335,2156.306075,2181.971663,2152.764327,2161.617905,2171.292422,2162.142291,2153.274348,2172.669871,2154.516408,2177.475885,2153.816658,2158.163724,2156.486921,2164.195895,2164.057748,2150.43041,2153.487497,2164.796504,2171.797107,2165.407365,2156.082694,2161.330993,2162.557411,2158.379575,2160.274834,2153.308611,2148.774357,2168.427354,2158.68419,2156.842051,2151.598788,2152.93704,2158.76348,2160.478812,2149.626409,2172.447621,2157.310185,2173.42805,2155.976714,2147.512917,2162.69757,2184.605076,2136.357573,2167.769429,2180.381584,2156.598286,2168.859851,2181.846315,2149.661068,2170.426126,2161.446017,2152.137191,2143.266434,2163.277158,2174.390043,2166.465053,2162.633194,2156.829522,2165.960636,2171.148694,2184.947773
FEN1,92.19587644,91.29043055,90.7680668,92.26250192,91.69756018,91.49967397,91.73074218,90.84957819,92.56862342,91.84261934,91.86614986,91.32775206,91.79031442,91.03658025,90.31891188,91.7666065,91.08749515,91.34648861,90.74093931,91.29472179,92.08015415,91.28740868,90.99671704,91.23127308,91.47394387,91.09400821,91.76400234,90.34335723,92.37682522,90.9186441,91.22223997,90.19955482,91.97624052,91.31526113,90.17666407,91.94269506,90.74169962,91.20885322,90.7737436,93.54140855,90.75520439,91.48628731,91.47371678,92.17886565,91.62590539,92.22780962,90.10103733,91.15390805,90.27915101,91.99757404,90.93785106,91.48536191,92.64241429,90.68611579,90.66994962,91.20085397,91.61223347,91.85477981,90.83117505,90.79381301,91.55566376,90.64242178,91.97292933,91.51940483,92.49111419,91.36049292,92.1013112,91.01568579,91.02869648,92.76670053,91.59718324,90.57115489,91.15181136,92.27875002,91.86708934,91.90929331,91.38284294,92.12206545,90.99120782,91.43713919,91.55632709,91.58484354,91.1656626,90.37990112,91.45068463,92.40817423,90.59269612,91.91062724,90.91462796,91.55172386,91.57819241,91.88802639,91.38624274,90.70842985,92.3267681,91.46398391,91.34202464,91.99147391,91.80343671,90.440777
FER,137.6305689,139.1568809,138.0884268,138.1412359,138.8989661,137.6077498,138.9776629,139.0921926,138.3083239,138.2976076,137.2476073,138.5484171,138.2823086,138.0531176,138.6686747,138.1216167,137.1168357,137.5810836,138.2732626,139.0230357,137.6677651,138.5605194,138.2948089,137.6016538,139.1175403,137.6480832,138.5845872,139.0629352,138.5173793,138.4705576,139.3356779,139.0326114,138.3783034,139.3833076,138.6661217,139.2230534,138.0741559,138.3214291,138.9865313,137.8452598,138.9341241,138.6751298,138.987848,137.9170982,137.1636667,137.4707511,137.9322187,137.9805179,138.1293823,138.4594052,138.7662891,138.0978452,138.2724124,137.285111,138.9233097,137.9083054,138.1201748,139.26592,139.2894898,138.970563,137.9193301,138.3935423,138.7107719,138.5123946,138.1367505,138.647518,137.9936808,138.5386746,138.5842698,138.2334954,138.7546643,137.6561624,138.0978432,138.0943097,137.8488028,137.7968834,138.2390559,137.9584513,138.8101922,138.7702849,138.2037221,138.054357,137.8800682,137.9441696,137.8401185,138.3806811,137.4030018,137.8362855,137.5441451,139.8477758,138.3727078,138.2373664,137.7625532,137.7041926,137.5088121,139.2790183,138.595861,136.8834359,137.47242,139.5783765
FERD3L,67.97270554,67.84382771,68.55787952,68.06790488,68.31256406,67.81951394,68.49127511,67.83785979,68.85039003,68.34396979,68.31778171,68.38283872,68.63132313,67.74652019,68.26061817,68.50485334,68.60137398,68.72836335,68.15154597,68.01620247,68.77174478,68.59364232,68.40002735,68.49536215,68.51358452,68.82877164,68.6850502,68.43776166,68.85844283,68.10638932,68.36659704,68.18096393,68.27267643,68.01868648,67.93916271,69.00660732,67.95804392,68.63325492,68.09103451,68.69855988,69.02182007,68.34001234,68.82271817,68.40759603,68.27177454,68.08966164,68.19952894,67.9341572,68.32950698,68.6461815,68.20519114,68.62870975,68.8273749,68.16966818,68.54194647,67.9554941,68.26841021,69.06906125,68.41579549,68.30539123,68.58121916,68.21171719,68.45635337,68.80276791,68.86616046,68.43590232,68.49121012,68.01620173,68.53643664,69.42219411,68.16002318,68.15161238,68.33693069,68.9962057,68.11190465,68.71000852,68.26638968,68.16409805,68.15054515,68.45865817,68.70580749,68.30120895,68.21668906,68.40182728,68.35603268,68.64237145,68.42857945,68.34578439,68.13170473,68.24843305,68.6033054,68.29393039,68.24128739,68.09886251,68.4801165,68.88808367,68.05357841,68.53562334,67.90836788,68.35446693
FERMT1,46.72688862,46.83406597,46.9259928,47.07758449,47.25867613,46.6768043,46.99425925,46.87848838,47.3371744,46.81641902,46.32863717,46.87631799,46.492041,46.46846546,46.83722668,46.56732759,46.58955894,46.65924158,46.37313963,46.9244081,47.11938072,46.66865621,46.5649123,46.86824996,47.25241705,47.00853118,46.88412604,46.92145791,47.44174455,46.71760719,47.23109879,46.55108752,46.74281717,47.45299689,46.26360522,47.04551014,46.75548647,46.74126046,46.52413877,47.03645283,47.28263404,46.63842414,47.3762237,46.54181358,46.21672762,46.56302367,46.457155,46.58154642,46.60658069,46.88521185,47.03184187,46.55734461,47.1975112,46.23784011,47.20642548,46.36124086,46.51817526,47.56982736,47.20398945,46.79734109,46.84065443,46.79100886,46.89658053,46.94329998,47.0701539,46.65809277,46.94647741,46.7389939,46.83070826,47.51175814,47.20226776,46.61484225,46.86271232,47.25785897,47.0682795,46.34525231,46.89661349,46.6816831,46.80400971,46.72669937,46.67753005,46.63676611,47.17477701,46.77671259,46.61636287,47.02121209,46.32693775,46.77964047,46.10614967,47.3616007,47.26227628,47.03137148,46.59379498,46.52925436,46.64151176,47.44016767,46.86794264,46.07853725,46.51927559,47.08793035
FERMT2,3984.185557,4004.494407,4004.126666,3985.021244,3991.360666,4013.338453,4014.648905,4020.53546,3986.91928,4020.872496,4002.589335,4010.028955,4004.789426,4010.677914,4016.499549,3996.181477,4007.166721,4006.793115,4041.154458,4021.781138,3990.445403,4046.046571,4026.509225,3989.910512,4026.479438,4004.657345,4000.551884,4040.623053,3991.467708,4028.144733,4012.775002,4049.955918,4001.671221,4009.539976,4049.244612,4005.423688,4001.552193,4008.964391,4034.349076,3988.825736,4014.883973,4038.168251,4023.217624,4012.66497,4024.593333,4001.2977,4014.468701,3999.828093,4041.334725,4023.982888,4007.261825,4010.625266,3999.798322,4021.25446,4004.131459,4035.440391,4034.654713,3983.68291,4018.005079,4056.657583,4007.284958,4008.693682,4009.770295,4024.875827,4015.193264,4024.727177,3983.972675,4024.986061,4011.467414,3977.822315,4011.336312,4026.594828,4009.273022,4008.699283,4004.734972,4045.000879,4031.020731,4010.408133,4028.315491,4015.891531,4022.290782,4040.065251,3989.36695,4019.335156,4018.8356,4007.438479,4018.738956,4002.052925,4036.61068,4019.104329,3991.546258,3992.512104,4020.683858,4018.780162,4014.746648,4032.001816,4002.455439,4012.955644,4017.453503,4006.699576
FERMT3,61.37564186,61.72767367,60.74274253,61.13658885,61.2891437,62.26915519,60.81663482,62.60529355,60.34241929,61.43291586,60.39450579,59.64725177,60.96045367,61.08777963,61.20769838,60.22571823,59.46214665,61.29742712,61.89144233,61.89753606,60.62964014,60.18504558,61.43004437,59.82615326,61.27254966,60.42592806,60.66842372,62.68114158,61.55619049,61.02888222,61.03066509,61.91072281,60.61306584,62.53850451,62.19844564,61.57931038,61.40539106,60.84026514,61.88160607,60.92811956,62.17601715,60.71199403,62.17242139,61.29423298,60.80594914,61.25461082,60.87684742,60.56728062,61.04394853,61.80718062,60.70675753,60.89801288,61.16823102,61.26806579,62.80830882,61.42740938,61.39741957,60.1094923,60.4484197,61.92006957,61.26627478,61.95085263,60.96631507,60.62150315,61.56841565,61.90227354,60.29236276,62.62452632,61.33451775,60.13983318,60.58298715,61.56461357,62.18162009,61.63741641,60.79918245,61.09386106,61.29520649,60.34758409,62.0897224,61.85635247,59.29662687,62.72172574,60.36981966,61.8921161,61.16380557,60.89837447,61.32840359,60.87498656,61.98888667,62.59038453,60.72116496,62.16035885,60.82523745,61.63687571,60.18216425,61.58920382,60.57687638,59.75669217,60.32358275,61.10948904
